row_index,borrower_id,feature,rank,shap_value,absolute_shap,direction,feature_value
10003,10004,recent_enquiries_12m,6,0.1149064153432846,0.1149064153432846,increases_risk,3.0
10003,10004,total_enquiries,7,-0.08504286408424377,0.08504286408424377,decreases_risk,11.0
10003,10004,num_times_delinquent,8,-0.0687028244137764,0.0687028244137764,decreases_risk,0
10003,10004,num_times_60p_dpd,9,-0.05427201837301254,0.05427201837301254,decreases_risk,0
10003,10004,closed_loans,10,0.032692112028598785,0.032692112028598785,increases_risk,0
24704,24705,recent_enquiries_6m,1,-2.282179355621338,2.282179355621338,decreases_risk,0.0
24704,24705,delinquency_score,2,-0.8447844386100769,0.8447844386100769,decreases_risk,0
24704,24705,secured_loans,3,0.1505936235189438,0.1505936235189438,increases_risk,0
24704,24705,recent_enquiries_12m,4,-0.14190427958965302,0.14190427958965302,decreases_risk,1.0
24704,24705,num_times_delinquent,5,-0.10784309357404709,0.10784309357404709,decreases_risk,0
24704,24705,active_loans,6,0.1069488674402237,0.1069488674402237,increases_risk,1
24704,24705,credit_history_months,7,-0.1016717404127121,0.1016717404127121,decreases_risk,7.0
24704,24705,num_times_60p_dpd,8,-0.06574300676584244,0.06574300676584244,decreases_risk,0
24704,24705,education,9,0.03503718748106621,0.03503718748106621,increases_risk,12TH
24704,24705,total_enquiries,10,0.024822387844324112,0.024822387844324112,increases_risk,1.0
20796,20797,recent_enquiries_6m,1,-1.5938671827316284,1.5938671827316284,decreases_risk,0.0
20796,20797,delinquency_score,2,1.4002629518508911,1.4002629518508911,increases_risk,29
20796,20797,active_loan_ratio,3,0.48374640941619873,0.48374640941619873,increases_risk,0.0
20796,20797,num_times_60p_dpd,4,0.29370367527008057,0.29370367527008057,increases_risk,2
20796,20797,num_times_delinquent,5,0.2501611113548279,0.2501611113548279,increases_risk,5
20796,20797,credit_history_months,6,0.2428203672170639,0.2428203672170639,increases_risk,45.0
20796,20797,active_loans,7,0.22718191146850586,0.22718191146850586,increases_risk,0
20796,20797,recent_enquiries_12m,8,-0.16122697293758392,0.16122697293758392,decreases_risk,0.0
20796,20797,secured_loans,9,0.0872092917561531,0.0872092917561531,increases_risk,1
20796,20797,closed_loans,10,0.04081275314092636,0.04081275314092636,increases_risk,1
17661,17662,delinquency_score,1,0.927137017250061,0.927137017250061,increases_risk,70
17661,17662,credit_history_months,2,-0.8991848826408386,0.8991848826408386,decreases_risk,80.0
17661,17662,num_times_60p_dpd,3,0.5051773190498352,0.5051773190498352,increases_risk,7
17661,17662,recent_enquiries_6m,4,-0.4800121486186981,0.4800121486186981,decreases_risk,1.0
17661,17662,recent_enquiries_12m,5,0.15697848796844482,0.15697848796844482,increases_risk,3.0
17661,17662,active_loan_ratio,6,-0.13672606647014618,0.13672606647014618,decreases_risk,0.5
17661,17662,active_loans,7,-0.08059130609035492,0.08059130609035492,decreases_risk,2
17661,17662,monthly_income_inr,8,0.03048638068139553,0.03048638068139553,increases_risk,22458
17661,17662,secured_loans,9,-0.030211638659238815,0.030211638659238815,decreases_risk,2
17661,17662,home_loans,10,0.01915985718369484,0.01915985718369484,increases_risk,0
51082,51083,delinquency_score,1,-0.6369197964668274,0.6369197964668274,decreases_risk,0
51082,51083,recent_enquiries_6m,2,-0.38747039437294006,0.38747039437294006,decreases_risk,1.0
51082,51083,total_enquiries,3,0.3428887128829956,0.3428887128829956,increases_risk,2.0
51082,51083,credit_history_months,4,0.30029311776161194,0.30029311776161194,increases_risk,8.0
51082,51083,recent_enquiries_12m,5,-0.21478183567523956,0.21478183567523956,decreases_risk,2.0
51082,51083,loan_type_diversity,6,-0.20037411153316498,0.20037411153316498,decreases_risk,0
51082,51083,active_loans,7,0.13221071660518646,0.13221071660518646,increases_risk,1
51082,51083,num_times_delinquent,8,-0.08438799530267715,0.08438799530267715,decreases_risk,0
