threshold,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,actual_default_rate,predicted_default_rate,actual_defaults,predicted_defaults,actual_non_defaults,true_negatives,false_positives,false_negatives,true_positives,expected_loss_proxy
0.36,0.8365796649785742,0.6633630657416584,0.7529058867641545,0.8659386922773319,0.7053038285914999,0.13406130772266808,0.24709411323584551,0.2597389949357226,0.2947993767043241,2667,3027,7601,6582,1019,659,2008,0.4201402415270744
0.37,0.8384300740163615,0.6692411014103425,0.7472815898012748,0.8704117879226417,0.7061116031886625,0.12958821207735824,0.25271841019872515,0.2597389949357226,0.29002726918582,2667,2978,7601,6616,985,674,1993,0.4241332294507207
0.38,0.8398909232567199,0.6745138178096213,0.7412823397075365,0.8744901986580713,0.7063236870310825,0.12550980134192868,0.25871766029246346,0.2597389949357226,0.2854499415660304,2667,2931,7601,6647,954,690,1977,0.4289053369692248
0.39,0.8422282820412933,0.6828501571777855,0.7330333708286464,0.8805420339429022,0.7070524412296564,0.11945796605709776,0.26696662917135355,0.2597389949357226,0.278827425009739,2667,2863,7601,6693,908,712,1955,0.43513829372808727
0.4,0.8440786910790806,0.6900855920114123,0.7255343082114736,0.8856729377713459,0.7073661122281119,0.11432706222865413,0.2744656917885264,0.2597389949357226,0.27308141799766267,2667,2804,7601,6732,869,732,1935,0.4410790806388781
0.41,0.8444682508765096,0.6951130561633844,0.714660667416573,0.8900144717800289,0.7047513403586615,0.10998552821997105,0.2853393325834271,0.2597389949357226,0.2670432411375146,2667,2742,7601,6765,836,761,1906,0.4519867549668874
0.42,0.8451499805220102,0.700708162504659,0.7049118860142483,0.894356005788712,0.702803738317757,0.10564399421128799,0.2950881139857518,0.2597389949357226,0.26129723412543826,2667,2683,7601,6798,803,787,1880,0.4614335800545384
0.43,0.8452473704713673,0.7047872340425532,0.6955380577427821,0.8977766083410078,0.7001321003963011,0.10222339165899223,0.30446194225721784,0.2597389949357226,0.2563303467082197,2667,2632,7601,6824,777,812,1855,0.4710751850409038
0.44,0.8460264900662252,0.7096525096525097,0.6891638545181852,0.9010656492566768,0.699258132014457,0.09893435074332324,0.31083614548181476,0.2597389949357226,0.2522399688352162,2667,2590,7601,6849,752,829,1838,0.47691858200233733
0.45,0.846805609661083,0.7150157232704403,0.682039745031871,0.9046178134455992,0.6981385530608328,0.09538218655440074,0.31796025496812896,0.2597389949357226,0.2477600311647838,2667,2544,7601,6876,725,848,1819,0.48354109855862876
0.46,0.8471951694585119,0.7211925866236906,0.6711661042369704,0.9089593474542823,0.6952806370168965,0.09104065254571767,0.3288338957630296,0.2597389949357226,0.24172185430463577,2667,2482,7601,6909,692,877,1790,0.4944487728866381
0.47,0.8479742890533697,0.7275720164609053,0.6629171353580803,0.9129061965530851,0.6937414165195213,0.08709380344691488,0.3370828646419198,0.2597389949357226,0.23665757693806,2667,2430,7601,6939,662,899,1768,0.5022399688352162
0.48,0.8479742890533697,0.7317686504610227,0.6546681664791901,0.9158005525588738,0.6910746091430833,0.08419944744112617,0.34533183352080987,0.2597389949357226,0.23237241916634202,2667,2386,7601,6961,640,921,1746,0.5108102843786522
0.49,0.8491429684456564,0.7392979452054794,0.6475440569928759,0.9198789632943034,0.6903857685388767,0.08012103670569662,0.35245594300712413,0.2597389949357226,0.22750292169848071,2667,2336,7601,6992,609,940,1727,0.5170432411375147
0.5,0.8496299181924425,0.7465963987703118,0.6374203224596925,0.9240889356663596,0.6877022653721683,0.07591106433364031,0.36257967754030745,0.2597389949357226,0.22175691468640435,2667,2277,7601,7024,577,967,1700,0.5270744059213089
